date,user_id,question,reponse,erreur
2026-05-04 09:12:00,u001,"Quels services propose le bâtiment ?","Le bâtiment propose un café, un restaurant inter-entreprises, une crèche, une salle de sport et des jardins partagés.",
2026-05-04 09:20:00,u001,"Le café est-il ouvert le week-end ?","Le café est ouvert du lundi au vendredi, de 8h à 18h.",
2026-05-04 10:03:00,u002,"Comment venir en transport en commun ?","Le tramway T2 est à 5 minutes à pied et le métro ligne 14 dessert le quartier.",
2026-05-04 10:30:00,u002,"Y a-t-il un héliport ?","Oui, un héliport est aménagé sur le toit du bâtiment.",
2026-05-04 11:45:00,u003,"Combien d'étages compte le bâtiment ?","Le bâtiment Farman compte 9 étages.",
2026-05-05 09:05:00,u003,"Quelle est la surface totale ?","La surface totale est de 24 000 m².",
2026-05-05 14:20:00,u004,"Montrez-moi le café","Voici une perspective du café : ![Vue du café](https://ask.exemple.fr/img/vue_cafe.jpg)",
2026-05-05 14:25:00,u004,"Une image des jardins ?","Bien sûr : ![Jardins](https://ask.exemple.fr/img/perspective_jardin.jpg)",
2026-05-05 16:40:00,u005,"Le bâtiment a-t-il une piscine ?","Oui, le bâtiment dispose d'une piscine olympique chauffée au dernier étage.",
2026-05-06 09:30:00,u005,"Combien de places de parking ?","Le parking souterrain compte 500 places.",
2026-05-06 11:10:00,u006,"Montrez-moi la salle de réunion","Voici la salle de réunion : ![Salle](https://ask.exemple.fr/img/salle_reunion.jpg)",
2026-05-06 15:00:00,u006,"Bonjour","Bonjour ! Comment puis-je vous aider aujourd'hui ?",
2026-05-07 10:15:00,u007,"Qui est l'architecte du projet ?","L'architecte du projet est l'agence Atelier Démo.",
2026-05-07 17:30:00,u007,"Y a-t-il une crèche sur place ?","Oui, le bâtiment dispose d'une crèche.",
